WindSpeed_080m,WindSpeed_100m,WindSpeed_120m,WindDirection_080m,WindDirection_100m,WindDirection_120m,Temperature_080m,Temperature_100m,Temperature_120m,SpecificHumidity_100m,TurbulentKineticEnergy_100m,GlobalHorizontalIrradiance,SurfacePressure,Wind_Regression_Exponent,Wind_Regression_Initial_Value,Extraterrestrial_Irradiance,Global_Horizontal_Irradiance,Direct_Normal_Irradiance,Diffuse_Horizontal_Irradiance,Temperature,Wind_Direction_Ground,Wind_Speed_Ground,Albedo,Wind Output (kWh),Useable Wind Output (kWh),Wind Curtailment (kWh),Total Wind Output (kWh),Solar Output (kWh),Useable Solar Output (kWh),Solar Curtailment (kWh),Total Solar Output (kWh),Load (kWh)
9.033333333333333,9.333333333333334,9.55,126.0,125.66666666666669,125.33333333333331,2.716666666666667,2.5,2.266666666666667,0.0036916666666666673,1.4166666666666667,7.816666666666667,1025.9633333333334,0.13751512724389567,1.5989422548900798,0.0,0.0,0.0,0.0,1.4,100,4.2,0.2,207.67305599638328,207.67305599638328,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,405.1304719080557
8.516666666666666,8.85,9.066666666666666,130.16666666666666,129.5,129.33333333333334,2.833333333333333,2.6166666666666667,2.4,0.0039433333333333325,1.0333333333333334,0.0,1025.2883333333332,0.15499248401169738,1.464024658233192,0.0,0.0,0.0,0.0,1.8,90,4.2,0.2,169.12289868502776,169.12289868502776,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,404.76924028772584
8.75,9.133333333333333,9.4,122.16666666666669,122.16666666666669,121.83333333333331,3.1833333333333336,2.983333333333333,2.766666666666666,0.0036566666666666657,0.9,0.0,1024.5383333333332,0.1772932559218807,1.3931782432161706,0.0,0.0,0.0,0.0,2.2,90,3.6,0.2,177.95478575786007,177.95478575786007,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,396.5924922723481
9.05,9.466666666666667,9.75,118.33333333333331,118.33333333333331,118.16666666666669,3.2,3.0,2.783333333333333,0.0032266666666666663,0.9,0.0,1023.79,0.1844074763594868,1.3958844478660155,0.0,0.0,0.0,0.0,2.4,80,3.1,0.2,195.35022027213563,195.35022027213563,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,382.57224912191214
9.683333333333334,10.1,10.4,124.0,124.0,123.83333333333331,3.1166666666666667,2.9166666666666665,2.7,0.0032116666666666674,1.0166666666666666,0.0,1023.2133333333333,0.1765608580867861,1.4975588639948123,0.0,0.0,0.0,0.0,2.4,80,3.3,0.2,238.65823603576536,238.65823603576536,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,375.41131828679715
9.933333333333332,10.333333333333334,10.633333333333333,128.0,128.0,127.83333333333331,2.9333333333333336,2.716666666666667,2.5,0.003295,1.1833333333333331,0.0,1022.7583333333333,0.16827967467725596,1.5590882105153658,0.0,0.0,0.0,0.0,2.3,80,3.6,0.2,258.8308141404596,258.8308141404596,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,374.30755563914266
9.566666666666668,9.916666666666666,10.2,129.0,129.0,128.66666666666666,2.9,2.7,2.5,0.0031616666666666672,1.1333333333333333,0.0,1022.18,0.15820500849820845,1.5652215588237954,0.0,0.0,0.0,0.0,2.3,80,3.9,0.2,235.79117400931287,235.79117400931287,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,377.1879211971445
9.566666666666668,9.933333333333334,10.183333333333334,132.16666666666666,132.33333333333334,132.0,3.033333333333333,2.8166666666666664,2.6,0.0030016666666666672,1.1,0.0,1021.2133333333333,0.15459732848261026,1.5818010944339336,0.0,0.0,0.0,0.0,2.5,80,3.9,0.2,237.14123057690645,237.14123057690645,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,381.0130965491716
9.75,10.15,10.433333333333335,134.33333333333334,134.33333333333334,134.16666666666666,3.2166666666666672,3.016666666666666,2.8000000000000003,0.002971666666666667,1.1,0.0,1020.1066666666667,0.1675466885686998,1.5439477815017884,41.66666666666666,0.0,0.0,0.0,2.9,80,3.9,0.2,245.49280692727743,245.49280692727743,0.0,694541.8560196606,0.0,0.0,0.0,239363.53760634077,383.8243325033243
10.083333333333332,10.483333333333333,10.766666666666666,139.0,139.0,138.5,3.25,3.016666666666667,2.7833333333333328,0.0032116666666666665,1.2166666666666666,0.0,1018.98,0.16218275454399653,1.6010361992141813,199.16666666666663,21.66666666666667,0.0,21.66666666666667,3.6,80,3.6,0.2,270.4768303117139,270.4768303117139,0.0,694541.8560196606,2.0492436351499688,2.0492436351499688,0.0,239363.53760634077,383.65708827544137
